nisn,password,status_aktif,nama,angkatan,jurusan,kelas,panggilan,jk,tmp_lahir,tgl_lahir,agama,wn,alamat,hp,tb,bb,anak_ke,jml_sdr_kandung,yatim,tinggal_dgn,ayah_nama,ayah_kerja,ayah_hp,ibu_nama,ibu_kerja,ibu_hp
0041668094,password123,aktif,Siswa Dummy Ke-23,2023,IPA,10 IPA 1,Siswa 23,Laki-laki,Surabaya,2007-11-19,Islam,WNI,"Jl. Contoh Dummy No. 23, Kota Surabaya",088632558539,170,79,2,3,Lengkap,Orang Tua,Ayah dari Siswa 23,Buruh,083111740746,Ibu dari Siswa 23,Wiraswasta,085968216851
0017543802,password123,lulus,Siswa Dummy Ke-24,2023,TKJ,10 TKJ 1,Siswa 24,perempuan,Jakarta,2007-07-18,Buddha,WNI,"Jl. Contoh Dummy No. 24, Kota Jakarta",088674243404,159,72,3,3,Piatu,Orang Tua,Ayah dari Siswa 24,Petani,083386427944,Ibu dari Siswa 24,Pegawai Swasta,089821546138
0053881981,password123,lulus,Siswa Dummy Ke-25,2023,Multimedia,10 Multimedia 1,Siswa 25,perempuan,Semarang,2007-12-01,Buddha,WNI,"Jl. Contoh Dummy No. 25, Kota Semarang",086825570649,179,42,2,3,Yatim,Orang Tua,Ayah dari Siswa 25,Buruh,083527637236,Ibu dari Siswa 25,Pegawai Swasta,082953365564
0048990805,password123,lulus,Siswa Dummy Ke-26,2023,RPL,10 RPL 1,Siswa 26,Laki-laki,Yogyakarta,2007-10-17,Hindu,WNI,"Jl. Contoh Dummy No. 26, Kota Yogyakarta",084044907141,155,43,1,1,Lengkap,Orang Tua,Ayah dari Siswa 26,Petani,085031774050,Ibu dari Siswa 26,Wiraswasta,085649708495
0049432233,password123,aktif,Siswa Dummy Ke-27,2023,IPS,10 IPS 1,Siswa 27,Laki-laki,Malang,2007-09-02,Kristen,WNI,"Jl. Contoh Dummy No. 27, Kota Malang",085661579222,165,67,1,2,Yatim Piatu,Orang Tua,Ayah dari Siswa 27,Pegawai Swasta,085271060658,Ibu dari Siswa 27,Wiraswasta,084838744929
0066102155,password123,drop_out,Siswa Dummy Ke-28,2023,RPL,10 RPL 1,Siswa 28,perempuan,Surabaya,2008-07-03,Kristen,WNI,"Jl. Contoh Dummy No. 28, Kota Surabaya",088098183391,150,47,1,3,Lengkap,Orang Tua,Ayah dari Siswa 28,Petani,081273040125,Ibu dari Siswa 28,PNS,081994321869
0051501973,password123,drop_out,Siswa Dummy Ke-29,2023,IPA,10 IPA 1,Siswa 29,Laki-laki,Surabaya,2008-11-06,Kristen,WNI,"Jl. Contoh Dummy No. 29, Kota Surabaya",082492988360,175,43,1,4,Yatim,Orang Tua,Ayah dari Siswa 29,PNS,081494828615,Ibu dari Siswa 29,PNS,086336335363
0086469754,password123,drop_out,Siswa Dummy Ke-30,2023,RPL,10 RPL 1,Siswa 30,perempuan,Bandung,2007-05-16,Kristen,WNI,"Jl. Contoh Dummy No. 30, Kota Bandung",087335221576,156,50,2,5,Yatim,Orang Tua,Ayah dari Siswa 30,Pegawai Swasta,087704275107,Ibu dari Siswa 30,Pegawai Swasta,083563780178
0059900189,password123,lulus,Siswa Dummy Ke-31,2023,IPA,10 IPA 1,Siswa 31,perempuan,Malang,2007-10-12,Islam,WNI,"Jl. Contoh Dummy No. 31, Kota Malang",081084634180,170,79,3,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 31,Petani,084334843094,Ibu dari Siswa 31,PNS,083105563732
0023083410,password123,lulus,Siswa Dummy Ke-32,2023,RPL,10 RPL 1,Siswa 32,perempuan,Jakarta,2008-08-11,Hindu,WNI,"Jl. Contoh Dummy No. 32, Kota Jakarta",087659128961,173,41,3,5,Piatu,Orang Tua,Ayah dari Siswa 32,Petani,088461768816,Ibu dari Siswa 32,Wiraswasta,083828986574
0037909509,password123,aktif,Siswa Dummy Ke-33,2023,TKJ,10 TKJ 1,Siswa 33,perempuan,Jakarta,2007-06-12,Katolik,WNI,"Jl. Contoh Dummy No. 33, Kota Jakarta",081525772242,165,47,3,4,Yatim,Orang Tua,Ayah dari Siswa 33,Pegawai Swasta,086034379961,Ibu dari Siswa 33,Ibu Rumah Tangga,087397869874
0037936963,password123,drop_out,Siswa Dummy Ke-34,2023,Bahasa,10 Bahasa 1,Siswa 34,perempuan,Bandung,2008-04-28,Hindu,WNI,"Jl. Contoh Dummy No. 34, Kota Bandung",087021340529,145,47,1,5,Lengkap,Orang Tua,Ayah dari Siswa 34,Petani,082864539471,Ibu dari Siswa 34,PNS,087870203110
0050700940,password123,aktif,Siswa Dummy Ke-35,2023,IPS,10 IPS 1,Siswa 35,perempuan,Semarang,2007-09-04,Katolik,WNI,"Jl. Contoh Dummy No. 35, Kota Semarang",084676641778,149,66,1,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 35,Buruh,087910809532,Ibu dari Siswa 35,Pegawai Swasta,087778771224
0040173697,password123,lulus,Siswa Dummy Ke-36,2023,IPA,10 IPA 1,Siswa 36,perempuan,Semarang,2007-03-12,Katolik,WNI,"Jl. Contoh Dummy No. 36, Kota Semarang",086797717157,177,69,2,2,Yatim,Orang Tua,Ayah dari Siswa 36,Petani,083063106550,Ibu dari Siswa 36,Ibu Rumah Tangga,081445312152
0013948234,password123,aktif,Siswa Dummy Ke-37,2023,TKJ,10 TKJ 1,Siswa 37,perempuan,Bandung,2007-10-17,Katolik,WNI,"Jl. Contoh Dummy No. 37, Kota Bandung",086792689754,166,49,1,3,Lengkap,Orang Tua,Ayah dari Siswa 37,Buruh,087709282902,Ibu dari Siswa 37,Wiraswasta,088984364003
0084582095,password123,drop_out,Siswa Dummy Ke-38,2023,TKJ,10 TKJ 1,Siswa 38,perempuan,Jakarta,2007-07-25,Islam,WNI,"Jl. Contoh Dummy No. 38, Kota Jakarta",081465305696,155,75,3,4,Yatim,Orang Tua,Ayah dari Siswa 38,Petani,081809199616,Ibu dari Siswa 38,Pegawai Swasta,084974936961
0090372522,password123,lulus,Siswa Dummy Ke-39,2023,TKJ,10 TKJ 1,Siswa 39,Laki-laki,Surabaya,2008-09-18,Islam,WNI,"Jl. Contoh Dummy No. 39, Kota Surabaya",087119641704,154,42,3,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 39,PNS,081482279673,Ibu dari Siswa 39,Ibu Rumah Tangga,081356188174
0042608398,password123,aktif,Siswa Dummy Ke-40,2023,IPA,10 IPA 1,Siswa 40,perempuan,Jakarta,2007-07-06,Hindu,WNI,"Jl. Contoh Dummy No. 40, Kota Jakarta",083195904090,168,85,1,5,Piatu,Orang Tua,Ayah dari Siswa 40,Pegawai Swasta,088179587231,Ibu dari Siswa 40,Ibu Rumah Tangga,085122558812
0075308593,password123,drop_out,Siswa Dummy Ke-41,2023,Multimedia,10 Multimedia 1,Siswa 41,perempuan,Malang,2008-07-17,Buddha,WNI,"Jl. Contoh Dummy No. 41, Kota Malang",081364241455,180,42,1,4,Lengkap,Orang Tua,Ayah dari Siswa 41,Buruh,088087983834,Ibu dari Siswa 41,PNS,082378324480
0080424057,password123,drop_out,Siswa Dummy Ke-42,2023,IPS,10 IPS 1,Siswa 42,Laki-laki,Surabaya,2007-08-20,Konghucu,WNI,"Jl. Contoh Dummy No. 42, Kota Surabaya",086061917808,175,58,2,2,Yatim Piatu,Orang Tua,Ayah dari Siswa 42,Petani,084351544671,Ibu dari Siswa 42,Wiraswasta,088962793354
0064014131,password123,lulus,Siswa Dummy Ke-43,2023,Multimedia,10 Multimedia 1,Siswa 43,perempuan,Semarang,2008-01-26,Hindu,WNI,"Jl. Contoh Dummy No. 43, Kota Semarang",088636445843,153,76,3,4,Yatim,Orang Tua,Ayah dari Siswa 43,PNS,083129016057,Ibu dari Siswa 43,Wiraswasta,089765725358
0034794208,password123,drop_out,Siswa Dummy Ke-44,2023,Multimedia,10 Multimedia 1,Siswa 44,perempuan,Jakarta,2008-09-05,Kristen,WNI,"Jl. Contoh Dummy No. 44, Kota Jakarta",084163287178,165,52,1,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 44,Buruh,089987094058,Ibu dari Siswa 44,Wiraswasta,082586636345
0077065139,password123,drop_out,Siswa Dummy Ke-45,2023,TKJ,10 TKJ 1,Siswa 45,perempuan,Surabaya,2007-04-10,Islam,WNI,"Jl. Contoh Dummy No. 45, Kota Surabaya",084009323833,167,52,3,3,Yatim,Orang Tua,Ayah dari Siswa 45,Pegawai Swasta,083710667556,Ibu dari Siswa 45,PNS,085634557513
0075456160,password123,aktif,Siswa Dummy Ke-46,2023,IPA,10 IPA 1,Siswa 46,perempuan,Malang,2007-01-08,Katolik,WNI,"Jl. Contoh Dummy No. 46, Kota Malang",087745547575,155,44,1,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 46,PNS,089202169167,Ibu dari Siswa 46,Ibu Rumah Tangga,089800629490
0037477169,password123,drop_out,Siswa Dummy Ke-47,2023,IPS,10 IPS 1,Siswa 47,perempuan,Malang,2007-01-02,Kristen,WNI,"Jl. Contoh Dummy No. 47, Kota Malang",085819829988,152,85,1,2,Yatim Piatu,Orang Tua,Ayah dari Siswa 47,Buruh,083439867469,Ibu dari Siswa 47,PNS,088903910267
0079161454,password123,lulus,Siswa Dummy Ke-48,2023,IPA,10 IPA 1,Siswa 48,Laki-laki,Bandung,2008-01-20,Islam,WNI,"Jl. Contoh Dummy No. 48, Kota Bandung",085113981192,148,40,3,4,Lengkap,Orang Tua,Ayah dari Siswa 48,Pegawai Swasta,088647783513,Ibu dari Siswa 48,Ibu Rumah Tangga,088934875510
0061211847,password123,aktif,Siswa Dummy Ke-49,2023,RPL,10 RPL 1,Siswa 49,perempuan,Semarang,2008-03-14,Buddha,WNI,"Jl. Contoh Dummy No. 49, Kota Semarang",087669309276,167,67,1,4,Yatim,Orang Tua,Ayah dari Siswa 49,Pegawai Swasta,084609680804,Ibu dari Siswa 49,Ibu Rumah Tangga,085465731445
0091015035,password123,aktif,Siswa Dummy Ke-50,2023,TKJ,10 TKJ 1,Siswa 50,perempuan,Jakarta,2008-09-09,Hindu,WNI,"Jl. Contoh Dummy No. 50, Kota Jakarta",089795501093,153,56,3,5,Piatu,Orang Tua,Ayah dari Siswa 50,PNS,084891122109,Ibu dari Siswa 50,Wiraswasta,085478417928
0071097219,password123,lulus,Siswa Dummy Ke-51,2023,IPA,10 IPA 1,Siswa 51,perempuan,Semarang,2007-02-05,Buddha,WNI,"Jl. Contoh Dummy No. 51, Kota Semarang",087732442868,178,76,2,3,Yatim,Orang Tua,Ayah dari Siswa 51,Pegawai Swasta,085933315582,Ibu dari Siswa 51,PNS,086557263505
0012655025,password123,aktif,Siswa Dummy Ke-52,2023,IPA,10 IPA 1,Siswa 52,perempuan,Yogyakarta,2008-07-29,Islam,WNI,"Jl. Contoh Dummy No. 52, Kota Yogyakarta",087751760036,164,78,3,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 52,Buruh,082812130272,Ibu dari Siswa 52,PNS,084887414610
0038292773,password123,drop_out,Siswa Dummy Ke-53,2023,RPL,10 RPL 1,Siswa 53,perempuan,Bandung,2007-05-06,Konghucu,WNI,"Jl. Contoh Dummy No. 53, Kota Bandung",086219624828,175,64,2,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 53,Pegawai Swasta,086046532306,Ibu dari Siswa 53,Ibu Rumah Tangga,083934514394
0062771316,password123,drop_out,Siswa Dummy Ke-54,2023,IPS,10 IPS 1,Siswa 54,Laki-laki,Surabaya,2007-06-28,Kristen,WNI,"Jl. Contoh Dummy No. 54, Kota Surabaya",082485297481,157,57,2,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 54,Wiraswasta,087014638816,Ibu dari Siswa 54,Pegawai Swasta,089331486801
0086212511,password123,lulus,Siswa Dummy Ke-55,2023,TKJ,10 TKJ 1,Siswa 55,Laki-laki,Semarang,2008-02-21,Buddha,WNI,"Jl. Contoh Dummy No. 55, Kota Semarang",081896325146,173,83,1,2,Yatim,Orang Tua,Ayah dari Siswa 55,PNS,086133027910,Ibu dari Siswa 55,PNS,089377259262
0087421494,password123,aktif,Siswa Dummy Ke-56,2023,Bahasa,10 Bahasa 1,Siswa 56,Laki-laki,Surabaya,2008-09-10,Buddha,WNI,"Jl. Contoh Dummy No. 56, Kota Surabaya",081459754275,164,48,3,5,Piatu,Orang Tua,Ayah dari Siswa 56,Pegawai Swasta,086883005270,Ibu dari Siswa 56,PNS,082005340263
0073140764,password123,drop_out,Siswa Dummy Ke-57,2023,RPL,10 RPL 1,Siswa 57,Laki-laki,Jakarta,2007-11-02,Katolik,WNI,"Jl. Contoh Dummy No. 57, Kota Jakarta",083798110375,164,47,2,2,Yatim,Orang Tua,Ayah dari Siswa 57,Petani,086661155763,Ibu dari Siswa 57,Wiraswasta,088595028287
0080361159,password123,lulus,Siswa Dummy Ke-58,2023,IPA,10 IPA 1,Siswa 58,Laki-laki,Jakarta,2008-03-06,Hindu,WNI,"Jl. Contoh Dummy No. 58, Kota Jakarta",086067651145,169,76,2,5,Piatu,Orang Tua,Ayah dari Siswa 58,PNS,085207076876,Ibu dari Siswa 58,Pegawai Swasta,085002398392
0016203071,password123,drop_out,Siswa Dummy Ke-59,2023,Bahasa,10 Bahasa 1,Siswa 59,Laki-laki,Yogyakarta,2007-08-04,Hindu,WNI,"Jl. Contoh Dummy No. 59, Kota Yogyakarta",089691133694,178,59,1,1,Yatim,Orang Tua,Ayah dari Siswa 59,PNS,085872835043,Ibu dari Siswa 59,Ibu Rumah Tangga,081964653629
0045851310,password123,aktif,Siswa Dummy Ke-60,2023,Bahasa,10 Bahasa 1,Siswa 60,Laki-laki,Malang,2007-10-05,Buddha,WNI,"Jl. Contoh Dummy No. 60, Kota Malang",084674752618,150,67,1,4,Piatu,Orang Tua,Ayah dari Siswa 60,Buruh,085488462619,Ibu dari Siswa 60,PNS,089660165490
0044909766,password123,drop_out,Siswa Dummy Ke-61,2023,IPS,10 IPS 1,Siswa 61,perempuan,Surabaya,2008-09-21,Buddha,WNI,"Jl. Contoh Dummy No. 61, Kota Surabaya",086827240943,180,79,3,3,Piatu,Orang Tua,Ayah dari Siswa 61,Petani,086428624334,Ibu dari Siswa 61,Wiraswasta,083449269272
0077621942,password123,drop_out,Siswa Dummy Ke-62,2023,RPL,10 RPL 1,Siswa 62,Laki-laki,Jakarta,2008-08-07,Konghucu,WNI,"Jl. Contoh Dummy No. 62, Kota Jakarta",087070021819,166,61,2,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 62,Wiraswasta,083578778515,Ibu dari Siswa 62,Ibu Rumah Tangga,088748322965
0061161991,password123,drop_out,Siswa Dummy Ke-63,2023,IPA,10 IPA 1,Siswa 63,perempuan,Jakarta,2007-09-04,Islam,WNI,"Jl. Contoh Dummy No. 63, Kota Jakarta",085828377644,153,58,3,5,Yatim,Orang Tua,Ayah dari Siswa 63,Buruh,086521776963,Ibu dari Siswa 63,Wiraswasta,082538280471
0063140461,password123,lulus,Siswa Dummy Ke-64,2023,IPA,10 IPA 1,Siswa 64,Laki-laki,Malang,2007-02-07,Kristen,WNI,"Jl. Contoh Dummy No. 64, Kota Malang",084244619500,152,43,3,3,Lengkap,Orang Tua,Ayah dari Siswa 64,PNS,086726604126,Ibu dari Siswa 64,Pegawai Swasta,081786900385
0041205223,password123,drop_out,Siswa Dummy Ke-65,2023,Multimedia,10 Multimedia 1,Siswa 65,perempuan,Yogyakarta,2007-10-22,Katolik,WNI,"Jl. Contoh Dummy No. 65, Kota Yogyakarta",084377904742,161,62,1,1,Piatu,Orang Tua,Ayah dari Siswa 65,Petani,083326674886,Ibu dari Siswa 65,PNS,089459601977
0068598563,password123,aktif,Siswa Dummy Ke-66,2023,Multimedia,10 Multimedia 1,Siswa 66,Laki-laki,Surabaya,2008-06-01,Konghucu,WNI,"Jl. Contoh Dummy No. 66, Kota Surabaya",088737578407,167,73,3,4,Piatu,Orang Tua,Ayah dari Siswa 66,Wiraswasta,083885996833,Ibu dari Siswa 66,Ibu Rumah Tangga,087931389496
0071499985,password123,lulus,Siswa Dummy Ke-67,2023,IPA,10 IPA 1,Siswa 67,Laki-laki,Semarang,2008-09-08,Islam,WNI,"Jl. Contoh Dummy No. 67, Kota Semarang",086183596133,160,62,1,2,Yatim,Orang Tua,Ayah dari Siswa 67,PNS,088235481399,Ibu dari Siswa 67,Wiraswasta,089605384973
0068373017,password123,lulus,Siswa Dummy Ke-68,2023,Multimedia,10 Multimedia 1,Siswa 68,perempuan,Jakarta,2008-03-04,Buddha,WNI,"Jl. Contoh Dummy No. 68, Kota Jakarta",089550845747,154,79,1,1,Yatim,Orang Tua,Ayah dari Siswa 68,PNS,087878046551,Ibu dari Siswa 68,Ibu Rumah Tangga,083688789281
0041757829,password123,drop_out,Siswa Dummy Ke-69,2023,TKJ,10 TKJ 1,Siswa 69,perempuan,Bandung,2008-04-26,Katolik,WNI,"Jl. Contoh Dummy No. 69, Kota Bandung",081210606811,169,50,2,4,Lengkap,Orang Tua,Ayah dari Siswa 69,Wiraswasta,081377551476,Ibu dari Siswa 69,Wiraswasta,085436091233
0045562822,password123,aktif,Siswa Dummy Ke-70,2023,IPS,10 IPS 1,Siswa 70,Laki-laki,Semarang,2008-08-09,Islam,WNI,"Jl. Contoh Dummy No. 70, Kota Semarang",086281333486,145,71,3,4,Piatu,Orang Tua,Ayah dari Siswa 70,Pegawai Swasta,081336187762,Ibu dari Siswa 70,PNS,086649915965
0039840492,password123,drop_out,Siswa Dummy Ke-71,2023,IPA,10 IPA 1,Siswa 71,Laki-laki,Surabaya,2008-03-17,Katolik,WNI,"Jl. Contoh Dummy No. 71, Kota Surabaya",081092114796,172,40,2,4,Yatim,Orang Tua,Ayah dari Siswa 71,Wiraswasta,087622775531,Ibu dari Siswa 71,PNS,082506317323
0012564598,password123,drop_out,Siswa Dummy Ke-72,2023,Multimedia,10 Multimedia 1,Siswa 72,perempuan,Semarang,2008-12-03,Katolik,WNI,"Jl. Contoh Dummy No. 72, Kota Semarang",087757390348,158,65,1,3,Lengkap,Orang Tua,Ayah dari Siswa 72,Petani,087891334892,Ibu dari Siswa 72,Ibu Rumah Tangga,086133306703
0089121661,password123,drop_out,Siswa Dummy Ke-73,2023,TKJ,10 TKJ 1,Siswa 73,perempuan,Jakarta,2008-07-27,Islam,WNI,"Jl. Contoh Dummy No. 73, Kota Jakarta",082510831350,164,40,1,1,Piatu,Orang Tua,Ayah dari Siswa 73,Wiraswasta,081208614120,Ibu dari Siswa 73,Wiraswasta,082004118607
0014228496,password123,aktif,Siswa Dummy Ke-74,2023,IPA,10 IPA 1,Siswa 74,Laki-laki,Surabaya,2007-07-25,Katolik,WNI,"Jl. Contoh Dummy No. 74, Kota Surabaya",087259996330,150,82,3,4,Yatim,Orang Tua,Ayah dari Siswa 74,Pegawai Swasta,085580152961,Ibu dari Siswa 74,Pegawai Swasta,087264000878
0021020692,password123,aktif,Siswa Dummy Ke-75,2023,TKJ,10 TKJ 1,Siswa 75,Laki-laki,Yogyakarta,2008-11-15,Kristen,WNI,"Jl. Contoh Dummy No. 75, Kota Yogyakarta",088604881882,150,77,1,3,Yatim,Orang Tua,Ayah dari Siswa 75,Wiraswasta,089024451192,Ibu dari Siswa 75,PNS,082522694431
